,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_55,55,95.72698258944445,24.026441489366665,23.47846355375,8,4,0,0
UNQ_72,72,95.82965342000001,25.090776340629628,22.871510714166668,9,3,0,0
UNQ_80,80,95.83078165861112,28.2271506170625,23.650008201666665,9,3,0,0
UNQ_88,88,95.8319098975,32.903132546253964,24.01545788,9,4,0,0
UNQ_89,89,95.97165139055555,30.76945842735043,23.976143631666666,9,4,0,0
UNQ_3,3,95.98495186444444,25.053535479438537,23.5068261025,7,2,0,0
UNQ_16,16,96.01638777027779,30.76645193740741,23.974962902222224,9,5,1,0
UNQ_33,33,96.01638995500001,35.29092968804739,24.29753321777778,10,5,1,0
UNQ_41,41,96.0163905375,35.290929529558824,24.29739115027778,11,4,1,0
UNQ_48,48,96.01639213944443,25.59938175953704,23.475541648333333,9,4,1,0
UNQ_56,56,96.01639272222222,26.84499126228175,23.870799447638888,9,3,1,0
UNQ_25,25,96.01667729388889,33.330330011697534,24.064450111666666,9,6,1,0
UNQ_40,40,96.01667933277778,29.402377329,23.95996580111111,8,4,1,0
UNQ_49,49,96.01668020666668,33.843895371650326,23.976424849583335,10,3,1,0
UNQ_95,95,96.03872697222222,23.544059342194448,23.49241396472222,7,2,1,0
UNQ_12863,12863,96.03872901138888,26.206119104595956,23.9506727125,7,2,1,0
UNQ_2,2,96.03896916444444,23.04567781598639,23.776018386666667,6,2,1,0
UNQ_73,73,96.0478151775,31.135507362867866,23.74763954583333,11,4,1,0
UNQ_81,81,96.04810761388889,37.161757022267025,23.98565220277778,11,4,1,0
UNQ_58,58,96.21203237777777,33.37543868736112,24.398792159444444,9,5,2,0
UNQ_24,24,96.29261469055555,21.77953827406893,23.487045832499998,5,2,1,0
UNQ_39,39,96.29272479138888,25.59433404540459,23.74897552958333,5,3,1,0
UNQ_32,32,96.29301300416667,27.351048478307497,23.9749595525,6,3,1,0
UNQ_94,94,96.29327587611111,27.937806338145993,24.021866169722223,5,2,1,0
UNQ_63,63,96.52972015833333,25.560061511631208,23.497979097777776,7,4,1,0
UNQ_51,51,97.19014294472223,21.84891497350505,22.76445506527778,7,2,1,0
UNQ_12864,12864,97.22544123666667,27.46366763402116,23.897306981111115,9,3,1,0
UNQ_87,87,97.73893097888889,27.376787560129202,23.974660563055554,7,2,1,0
