,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_24,24,96.29261469055555,22.89455342358974,23.522303467222223,8,3,1,0
UNQ_41,41,96.36677787222222,31.396247949460474,23.960844155694446,15,5,2,0
UNQ_25,25,96.36679156194444,32.03264043642701,23.99471307027778,13,7,2,0
UNQ_16,16,96.36680510611112,29.172588918779763,23.93252960736111,13,6,2,0
UNQ_32,32,96.36706885194445,27.79847439238304,23.9749595525,9,4,2,0
UNQ_33,33,96.36706885194445,34.01262009508101,24.218730219999998,14,6,2,0
UNQ_12865,12865,96.48868668444445,24.775868935421006,23.876152790833334,10,3,1,0
UNQ_97,97,96.48956166305555,27.66842157256592,23.985940706666664,11,4,1,0
UNQ_51,51,97.19014294472223,23.67630165653784,23.492812349444446,11,4,1,0
UNQ_12864,12864,97.22544123666667,27.123373213252687,23.99032463763889,12,4,1,0
UNQ_87,87,97.73893097888889,27.568024811561926,23.974660563055554,10,4,1,0
UNQ_79,79,97.73924817305556,24.02356073373016,23.69467199388889,10,3,1,0
UNQ_71,71,97.73930569916666,28.027488457175924,23.694239164861113,12,6,1,0
UNQ_55,55,97.82587449972222,25.084165368457715,23.480519218888887,12,6,1,0
UNQ_47,47,97.82592590888889,28.562345364669536,23.5909189175,11,6,1,0
UNQ_63,63,97.82614101277777,26.275775400694446,23.50813113013889,10,6,2,0
UNQ_39,39,97.8262438313889,28.07825267094162,23.974669446388887,10,5,2,0
UNQ_11757,11757,119.44683524444444,26.75301256450717,23.96577950736111,11,4,2,0
UNQ_35,35,119.50218195083333,26.34943849032258,23.511265473055552,12,4,1,0
UNQ_49,49,119.70227688777778,31.84363661765307,23.524635820555556,13,5,3,0
UNQ_8,8,119.8400459975,29.17259458036706,23.04736104069444,12,5,3,0
UNQ_34,34,119.84229490166668,26.34943849032258,23.495089516944443,12,4,3,0
UNQ_61,61,119.85088061666667,23.35624115972994,22.75419561486111,12,4,2,0
UNQ_69,69,119.85202778805555,24.023561534722216,23.226161578333333,13,3,2,0
UNQ_77,77,119.85258892166667,25.84376130182906,23.871334975833335,11,2,2,0
UNQ_85,85,119.85317481333334,26.247587905698786,23.85565634513889,12,2,2,0
UNQ_93,93,119.85432198472222,26.330744027948025,23.91319322083333,11,3,1,0
UNQ_12860,12860,119.85488311861111,26.255411281406246,23.986522177638893,9,3,1,0
UNQ_12861,12861,119.85488311861111,25.912799979709,23.8713158975,11,4,1,0
UNQ_56,56,120.26263615388889,28.562330251216473,23.870799447638888,14,5,2,1
UNQ_12028,12028,120.29712388805555,27.240715774532404,23.853356296805554,12,4,3,1
UNQ_11892,11892,120.29714296638889,30.27232140536008,23.915211063194445,12,6,3,1
UNQ_12163,12163,120.29739447888889,24.39288154016749,23.810452246527777,10,2,2,1
UNQ_12437,12437,120.37019540611111,24.352853623735914,23.730621048055554,9,4,1,1
UNQ_12575,12575,120.37047342444446,26.67216391540564,23.947567934166667,10,4,1,1
UNQ_12299,12299,120.37048594888888,25.45979724374579,23.772079480416668,12,2,1,1
