,label,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_63,63,68,48.23302590916666,15.28540860215278,23.384903840138893,4,0,0,0
UNQ_64,64,69,48.205909543888886,16.92348058951141,23.453406510972226,2,0,0,0
UNQ_65,65,70,48.54792901694445,15.409998585571362,23.38328743861111,4,0,0,0
UNQ_66,66,71,95.82456777166668,16.77371527455998,23.370040405555557,9,1,0,0
UNQ_67,67,72,48.68680692833333,18.05675298021164,23.440027422500002,4,0,0,0
UNQ_68,68,74,72.02210523972222,19.957206383488305,23.445324664722225,8,1,0,0
UNQ_69,69,75,72.57278405111111,22.046162479793285,23.719816681527778,10,2,0,0
UNQ_7,7,7,72.08270250805556,17.16713488891692,23.468276625277777,5,1,0,0
UNQ_70,70,76,48.56669042888889,17.080810569929927,23.423490269166667,3,0,0,0
UNQ_71,71,77,95.23205634611111,17.881050073679248,23.402433965000004,6,2,0,0
UNQ_72,72,78,48.637132300833336,16.200249285686134,23.40196052888889,3,0,0,0
UNQ_73,73,79,48.70955084277778,17.075944378606106,23.404407839444445,6,0,0,0
UNQ_74,74,80,71.99043262583334,15.664709305994032,23.370034985277776,6,0,0,0
UNQ_75,75,81,48.68745320166666,15.799658857685186,23.38837218263889,4,0,0,0
UNQ_76,76,83,72.14503698277778,21.066333036246913,23.67061736638889,4,1,0,0
UNQ_77,77,84,71.99125365027778,17.886509181719077,23.442988410277774,6,0,0,0
UNQ_78,78,85,48.23244010888889,15.414390026522133,23.398897344444446,3,0,0,0
UNQ_79,79,86,95.23208058916666,18.224910092825855,23.459593944166667,5,1,0,0
UNQ_8,8,8,72.08270250805556,16.27301184694203,23.432380711944443,2,1,0,0
UNQ_80,80,87,72.28693669416667,16.77371511122419,23.432997983333333,2,1,0,0
UNQ_81,81,88,72.09979923222222,15.536309898101093,23.355649424583333,4,1,0,0
UNQ_82,82,89,48.68744973222222,15.795248396402776,23.387600627638886,7,0,0,0
UNQ_83,83,90,48.68744973222222,16.21058652323343,23.400092638194444,5,0,0,0
UNQ_84,84,92,71.89000882472222,21.79275819,23.72173588,5,0,0,0
UNQ_85,85,93,71.80495766361112,17.394219840509685,23.467814902222223,3,0,0,0
UNQ_86,86,94,48.23309095527778,15.33785031550774,23.398875074027778,3,0,0,0
UNQ_87,87,95,95.23208058916666,17.38890489,23.439567949166666,4,1,0,0
UNQ_88,88,96,48.03744806888889,16.062964314503294,23.407402416249997,1,0,0,0
UNQ_89,89,97,71.46779154555556,17.714291102507786,23.432344869999998,4,0,0,0
UNQ_9,9,9,71.78397215722222,16.715246166937003,23.381599731111113,5,0,0,0
UNQ_90,90,98,72.09979923222222,19.103144514458613,23.498933188472222,7,1,0,0
UNQ_91,91,99,48.686799989166666,16.648704544221722,23.410880578055558,5,0,0,0
UNQ_92,92,101,71.69803660694444,20.608369043140097,23.615033693055558,5,0,0,0
UNQ_93,93,102,48.429424403888895,18.230486635819975,23.67097657805556,3,0,0,0
UNQ_94,94,103,72.40290627583333,15.213157744566395,23.376394978333334,5,1,0,0
UNQ_95,95,104,72.40225755611111,17.881413104824425,23.467669002638893,3,1,0,0
UNQ_96,96,105,48.03744806888889,16.200254607789653,23.419686109166665,1,0,0,0
UNQ_97,97,106,95.82457148055556,19.34112029705499,23.499255083611107,7,2,0,0
UNQ_98,98,107,48.687446262499996,17.17530413856524,23.40064261111111,6,0,0,0
UNQ_99,99,108,48.687446262499996,17.271092085096054,23.449575375000002,6,0,0,0
