,AVG_1220300141,AVG_1117600141,AVG_2108000631,AVG_1107702081,AVG_1109701811,AVG_2129100331,AVG_1129100861,AVG_1119001241,AVG_1119102831,AVG_1209300921,AVG_1226001051,AVG_1226901291,AVG_1116700851,AVG_1116701151,AVG_1107200821,AVG_1107200551,AVG_1107900721,AVG_1126101461,AVG_2105400921,AVG_1103400641,AVG_2103400341,AVG_1101600961,AVG_1121600241,AVG_1121600081,AVG_1121600121,AVG_1226001161,AVG_1203700901,AVG_1203700321,AVG_1203700551,AVG_1220302561,AVG_1129101071,AVG_1127100831,AVG_2127101001,AVG_1121100711,AVG_1107701101,AVG_1117600691,AVG_1119001521,AVG_1201500791,AVG_1203700041,AVG_1220301531,AVG_1121100171,AVG_1107703221,AVG_1109703061,AVG_1112300661,AVG_1116702111,AVG_1121101981,AVG_1115501701,AVG_2117400131,AVG_1125000781,AVG_2126101911,AVG_1119800301,AVG_1117400831,AVG_1125301151
27.0,5945.666666666667,NaN,NaN,5372.0,NaN,5398.111111111112,7212.555555555555,NaN,5488.666666666667,5292.333333333333,6046.5,NaN,7486.333333333333,8905.666666666666,NaN,6513.444444444444,5380.5,7865.0,NaN,5733.833333333333,8839.666666666666,NaN,8307.0,6763.333333333333,7673.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5406.0,9139.333333333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13572.666666666666
28.0,NaN,5535.0,NaN,NaN,NaN,5527.5,6964.666666666667,NaN,NaN,5174.333333333333,5871.333333333333,8113.5,NaN,NaN,6091.0,7043.0,6390.5,NaN,NaN,3756.6666666666665,6274.333333333333,NaN,NaN,NaN,NaN,9846.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6330.5,4921.5,5149.666666666667,8060.166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7761.0,NaN
29.0,NaN,5483.666666666667,5249.777777777777,5820.666666666667,6703.0,4004.3333333333335,4696.0,8825.666666666666,NaN,4917.833333333333,5814.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6231.666666666667,7736.333333333333,6036.333333333333,7121.0,8052.0,6896.166666666667,7509.25,7291.666666666667,7412.333333333333,NaN,7678.833333333333,6583.833333333333,7751.333333333333,6233.166666666667,NaN,NaN,5749.333333333333,4722.0,5070.666666666667,8215.0,6245.333333333333,NaN,NaN,7244.333333333333,9196.77777777778,NaN,NaN,NaN,NaN,NaN,6043.166666666667,NaN
30.0,5680.444444444444,NaN,4442.333333333333,NaN,5869.333333333333,NaN,NaN,6691.333333333333,7307.0,6547.333333333333,7765.333333333333,5702.166666666667,6891.666666666667,7280.666666666667,5318.5,7579.166666666667,NaN,5665.666666666667,NaN,5115.333333333333,NaN,7092.0,8830.0,7684.333333333333,8536.666666666666,NaN,NaN,NaN,NaN,5355.0,6626.333333333333,NaN,NaN,NaN,5548.0,7468.666666666667,NaN,NaN,4773.333333333333,6008.88888888889,NaN,4771.0,NaN,NaN,NaN,NaN,5319.0,5749.666666666667,5281.666666666667,NaN,NaN,NaN,NaN
31.0,3389.6666666666665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7301.666666666667,NaN,NaN,NaN,6495.0,6721.0,NaN,6846.166666666667,NaN,7570.333333333333,NaN,NaN,7456.666666666667,NaN,NaN,NaN,NaN,5804.5,4238.5,5382.5,4793.166666666667,NaN,NaN,8276.388888888889,6153.444444444444,7763.333333333333,NaN,6314.0,NaN,5560.333333333333,7162.0,5765.666666666667,NaN,NaN,NaN,NaN,6591.0,10129.0,3799.0,6009.666666666667,4772.833333333333,NaN,NaN,5771.666666666667,NaN
32.0,NaN,3994.8333333333335,5294.666666666667,5831.666666666667,NaN,5166.666666666667,7734.666666666667,NaN,NaN,5810.666666666667,5830.333333333333,NaN,NaN,NaN,5211.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5673.0,4838.0,5215.0,4162.333333333333,5527.0,3871.555555555556,NaN,5479.0,NaN,5558.333333333333,NaN,NaN,5791.833333333333,NaN,NaN,NaN,5084.666666666667,NaN,NaN,6304.333333333333,8463.666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0,4284.666666666667,NaN,4590.0,4581.0,6160.333333333333,3901.3333333333335,6804.333333333333,7291.666666666667,7331.5,5622.333333333333,6736.0,NaN,6214.833333333333,NaN,5637.666666666667,NaN,7599.75,NaN,NaN,NaN,NaN,7166.444444444444,10496.666666666666,8936.0,7979.0,5938.666666666667,4261.333333333333,5680.0,4410.0,6130.333333333333,4705.666666666667,5849.833333333333,4514.5,5474.666666666667,NaN,7138.333333333333,NaN,6387.0,NaN,5671.666666666667,NaN,NaN,6009.333333333333,5668.333333333333,5945.333333333333,8896.333333333334,3721.0,6213.666666666667,4568.333333333333,NaN,7554.333333333333,NaN,NaN
34.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5082.222222222223,NaN,NaN,NaN,NaN,5943.0,5825.666666666667,NaN,7329.0,5813.333333333333,NaN,NaN,NaN,NaN,7500.666666666667,5291.0,7341.0,6311.666666666667,2934.0,4014.6666666666665,6621.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,5614.333333333333,5874.0,5695.444444444444,NaN,5551.666666666667,4961.666666666667,NaN,7800.666666666667,NaN,NaN,NaN,NaN,7163.0,6393.333333333333,NaN
35.0,NaN,NaN,NaN,NaN,NaN,4423.166666666667,7551.666666666667,NaN,NaN,5269.0,6038.333333333333,4912.5,NaN,NaN,5270.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5622.166666666667,NaN,NaN,NaN,6028.333333333333,NaN,NaN,5681.666666666667,NaN,NaN,NaN,5110.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6337.222222222223,NaN
36.0,5692.5,NaN,5407.333333333333,5412.333333333333,2821.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4890.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6334.333333333333,NaN,5775.25,NaN,5648.666666666667,NaN,6117.333333333333,5766.0,6293.0,6234.666666666667,6986.666666666667,NaN,6313.666666666667,3651.8333333333335,5372.333333333333,4955.666666666667,4540.11111111111,NaN,NaN,5862.0,8473.333333333334,4761.0,6414.333333333333,4895.333333333333,NaN,5982.666666666667,NaN,NaN
