,AVG_1220300141,AVG_1117600141,AVG_2108000631,AVG_1107702081,AVG_1109701811,AVG_2129100331,AVG_1129100861,AVG_1119001241,AVG_1119102831,AVG_1209300921,AVG_1226001051,AVG_1226901291,AVG_1116700851,AVG_1116701151,AVG_1107200821,AVG_1107200551,AVG_1107900721,AVG_1126101461,AVG_2105400921,AVG_1103400641,AVG_2103400341,AVG_1101600961,AVG_1121600241,AVG_1121600081,AVG_1121600121,AVG_1226001161,AVG_1203700901,AVG_1203700321,AVG_1203700551,AVG_1220302561,AVG_1129101071,AVG_1127100831,AVG_2127101001,AVG_1121100711,AVG_1107701101,AVG_1117600691,AVG_1119001521,AVG_1201500791,AVG_1203700041,AVG_1220301531,AVG_1121100171,AVG_1107703221,AVG_1109703061,AVG_1112300661,AVG_1116702111,AVG_1121101981,AVG_1115501701,AVG_2117400131,AVG_1125000781,AVG_2126101911,AVG_1119800301,AVG_1117400831,AVG_1125301151
-23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11690.394991954168,NaN,NaN,NaN,9557.796569824219,8744.450052897135,7259.634552001953,8074.594156901042,NaN,NaN,NaN,14750.833719889322,11767.467549641928,9766.343275705973,7417.776041666667,8458.00783030192,8399.860961914062,9963.246276855469,8741.384033203125,10908.40517171224,9236.641581217447,8351.141581217447,NaN,8205.720947265625,7878.873555501302,7345.709411621094,7798.993713378906,NaN,NaN,6905.214090983073,NaN,NaN,NaN,9113.292399088541,NaN,NaN,8990.525939941406,7038.4025472005205,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-22.0,NaN,NaN,NaN,NaN,NaN,8819.254633585611,9529.393447875977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10316.951555887857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8200.40473429362,NaN,NaN,NaN,NaN,7442.6931559244795,NaN,NaN,NaN,NaN,NaN,NaN,8870.947916666666,7772.346059163411,NaN,NaN,9818.463175455729,9259.005676269531,7635.256429036458,NaN,NaN,NaN,NaN
-21.0,8568.98671468099,NaN,10416.141596476236,8483.422231038412,9618.841162363688,NaN,NaN,7572.5355135599775,NaN,9366.206264654795,7924.759684244792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8938.191650390625,8776.418782552084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8243.912638346354,NaN,NaN
-20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-19.0,NaN,9803.404479980469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10003.219557921091,NaN
-18.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10036.347198486328,NaN,NaN,NaN,11028.936462402344,10002.42100016276,7408.1576741536455,9813.423787434896,8185.1227620442705,NaN,NaN,10111.730611165365,7657.952412923177,7962.5185546875,7162.797790527344,8092.125,8073.082010904948,8652.730611165365,8587.827168782553,10150.541483561197,8498.10780843099,8306.791870117188,NaN,8458.41514078776,7407.8104248046875,8251.772094726562,8622.184572219849,NaN,NaN,7679.823018391927,NaN,NaN,NaN,11029.480422973633,NaN,NaN,9284.145446777344,6777.389973958333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-17.0,NaN,NaN,NaN,NaN,NaN,9702.997975667318,10742.086741129557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8638.774678548178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7751.383721669515,NaN,NaN,NaN,NaN,10235.638895670572,NaN,NaN,NaN,NaN,7056.324127197266,NaN,10629.090003967285,8814.02582081159,NaN,NaN,11061.696838378906,12139.328267415365,12523.707598368326,NaN,NaN,NaN,NaN
-16.0,11251.147867838541,NaN,NaN,8565.900675455729,9209.616373697916,NaN,NaN,7641.877543131511,NaN,9819.147267659506,9593.20517985026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12422.072245279947,10685.186279296875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10421.504791259766,NaN,NaN
-15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12048.936950683594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-14.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5010.8827718098955,NaN,8591.624389648438,NaN
-13.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9503.537129720053,NaN,9668.13975016276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10305.118631998697,NaN,12432.758260091146,10087.165934244791,10838.290618896484,NaN,7237.898986816406,13400.367268880209,11286.063659667969,7824.936014811198,NaN,NaN,12033.8701171875,NaN,NaN,NaN,9759.390584309896,NaN,NaN,11273.23524983724,10176.239298502604,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-12.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8867.702779134115,NaN,NaN,NaN,NaN,9624.634948730469,4055.4710286458335,NaN,NaN,NaN,10639.96240234375,NaN,9472.678731282553,9027.676920572916,NaN,NaN,10578.714518229166,14941.689046223959,24885.965698242188,NaN,NaN,NaN,NaN
